SampleID;ASV;Count;Group;Type;Substrate;Density;Replicate;Kingdom;Phylum;Class;Order;Family;Genus
FN000.1;ASV96;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
FN000.1;ASV97;17;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus
FN000.1;ASV99;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
FN000.1;ASV100;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lapidilactobacillus
FN000.1;ASV101;0;FN000;food waste;sorb-;0;1;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides
FN000.1;ASV104;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
FN000.1;ASV105;36;FN000;food waste;sorb-;0;1;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Promicromonosporaceae;Cellulosimicrobium
FN000.1;ASV107;0;FN000;food waste;sorb-;0;1;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
FN000.1;ASV110;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;
FN000.1;ASV111;0;FN000;food waste;sorb-;0;1;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
FN000.1;ASV113;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Jeotgalicoccus
FN000.1;ASV114;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Weissella
FN000.1;ASV115;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Alcanivoracaceae1;Alcanivorax
FN000.1;ASV116;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Listeriaceae;Brochothrix
FN000.1;ASV117;0;FN000;food waste;sorb-;0;1;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium
FN000.1;ASV119;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter
FN000.1;ASV120;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella
FN000.1;ASV121;0;FN000;food waste;sorb-;0;1;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides
FN000.1;ASV122;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Photobacterium
FN000.1;ASV123;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
FN000.1;ASV126;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;
FN000.1;ASV127;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
FN000.1;ASV129;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum
FN000.1;ASV130;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
FN000.1;ASV131;0;FN000;food waste;sorb-;0;1;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas
FN000.1;ASV133;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Aeromonadaceae;Aeromonas
