SampleID;ASV;Count;Group;Type;Substrate;Density;Replicate;Kingdom;Phylum;Class;Order;Family;Genus
LN125.1;ASV248;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Tepidimonas
LN125.1;ASV250;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Marinobacteraceae;Marinobacter
LN125.1;ASV251;0;LN125;larvae;sorb-;1.25;1;Bacteria;Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces
LN125.1;ASV252;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;
LN125.1;ASV253;0;LN125;larvae;sorb-;1.25;1;Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;
LN125.1;ASV282;3;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Isobaculum
LN125.1;ASV283;3;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Alcaligenes
LN125.1;ASV284;1;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Weissella
LN125.1;ASV287;0;LN125;larvae;sorb-;1.25;1;Bacteria;Myxococcota;Polyangia;Polyangiales;BIrii41;
LN125.1;ASV290;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;
LN125.1;ASV291;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Amb-16S-1323;
LN125.1;ASV294;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;SC-I-84;
LN125.1;ASV295;0;LN125;larvae;sorb-;1.25;1;Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales;Micromonosporaceae;Virgisporangium
LN125.1;ASV296;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
LN125.1;ASV297;0;LN125;larvae;sorb-;1.25;1;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;
LN125.1;ASV298;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus
LN125.1;ASV299;0;LN125;larvae;sorb-;1.25;1;Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;67-14;
LN125.1;ASV300;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae;
LN125.1;ASV304;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] gauvreauii group
